date,open,high,low,close,volume,volatility,return_1,lag_1,lag_2,ma_4,target_next_close
2007-02-02,98.1,99.73,97.45,99.17,34172300.0,2.280000000000001,0.017650076962544947,97.45,96.17,98.0325,98.55
2007-02-09,99.17,100.44,97.81,98.55,34668400.0,2.6299999999999955,-0.006251890692749895,99.17,97.45,97.83500000000001,98.99
2007-02-16,98.8,99.52,97.8,98.99,27047900.0,1.7199999999999989,0.00446473871131392,98.55,99.17,98.53999999999999,97.73
2007-02-23,98.66,99.5,97.41,97.73,20682500.0,2.0900000000000034,-0.012728558440246451,98.99,98.55,98.61,90.9
2007-03-02,97.86,97.86,88.77,90.9,52427400.0,9.090000000000003,-0.06988642177427606,97.73,98.99,96.5425,93.28
2007-03-09,90.25,94.85,90.1,93.28,43505100.0,4.75,0.026182618261826107,90.9,97.73,95.225,93.25
2007-03-16,93.29,94.47,92.1,93.25,36423000.0,2.3700000000000045,-0.0003216123499142354,93.28,90.9,93.78999999999999,95.03
2007-03-23,93.95,95.81,93.39,95.03,26906600.0,2.4200000000000017,0.019088471849866062,93.25,93.28,93.11500000000001,94.26
2007-03-30,94.84,95.25,93.57,94.26,34042800.0,1.6800000000000068,-0.008102704409133965,95.03,93.25,93.955,96.52
2007-04-05,94.51,96.75,94.06,96.52,19197800.0,2.6899999999999977,0.023976235943135915,94.26,95.03,94.765,94.93
2007-04-13,96.43,96.94,94.53,94.93,27497000.0,2.4099999999999966,-0.016473269788644718,96.52,94.26,95.185,94.58
2007-04-20,94.99,97.66,93.911,94.58,51786700.0,3.7489999999999952,-0.0036869272095229055,94.93,96.52,95.07249999999999,101.17
2007-04-27,95.35,101.7,95.05,101.17,58275300.0,6.650000000000006,0.06967646436878838,94.58,94.93,96.8,102.96
2007-05-04,101.11,103.17,100.97,102.96,38307800.0,2.200000000000003,0.017692991993673912,101.17,94.58,98.41,105.98
2007-05-11,102.76,105.99,102.21,105.98,34979100.0,3.780000000000001,0.02933177933177933,102.96,101.17,101.1725,107.99
2007-05-18,105.81,108.05,104.53,107.99,35014200.0,3.519999999999996,0.018965842611813555,105.98,102.96,104.525,105.18
